"#",Lens ID,Title,Abstract,Inventors
1,178-231-622-103-543,sistema in situ para o tratamento térmico aeróbico de resíduos orgãnicos biodegradáveis,,ZAVALA MIGUEL ANGEL LOPEZ
340,067-292-153-138-464,"CONSTRUCTIVE SYSTEM FOR CONTINUOUS STRUCTURES BASED ON IRON CONGLOMERATES MADE OF LOW DENSITY MORTARS, APPLIED IN HOUSING AND DIFFERENT PURPOSE SERVICE AREAS.","The present invention describes a system for constructing continuous structures, such as domes and further geometries based on curved and flat surfaces, which can be applied in housing and different purpose service areas. The present system includes a pneumatic or embedded centering based on flat and/or curved metallic panels acting as a main reinforcement. The wall thickness is obtained from light mortar applied onto the reinforcement means, which is made out of Portland cement, anhydrite or other cementitious component. The inventive system provides advantages regarding: safety, resistance, constructive easiness and speediness, low cost, waste reduction, a light system and thermal comfort.",REYNA FRANCISCO SANTIAGO YEOMA
341,134-971-104-764-20X,IMPROVED SYSTEM FOR PROTECTING SLOPES USING HALF OR WHOLE WASTE TYRES.,"Described is a system for protecting slopes using waste tyres, which consists in: a) an upper barrier formed by large tyres attached by fastening means to the slope upper portion. b) A lower barrier formed by large tyres attached by fastening means to the slope lower portion. c) A tyre arrangement formed by rows of whole or transversally cut tyres attached therebetween by fastening means. d) Anchoring means located between the upper barrier and the tyre arrangement. The present system contributes to recycling tyres regardless of their size and physical condition, and the reduction of environmental erosive effect caused to slopes. The inventive system may also help to selectively control and isolate fire due to their dismountable characteristic.",ROVIRA NOEL LEON;;BREMER MARTIN HERMANN BREMER;;RUIZ MARISSA MOLINA;;MEDINA WALDO JESUS ARCOS;;MOLINA EVA MARIA SALOME DELGAD;;BARRIOS BRENDA LIZETH MATA;;GARZA GABRIELA VILLARREAL DE L
342,061-824-837-245-62X,SYSTEM FOR PROTECTING SLOPES USING WASTE TYRES.,"Described is a system for protecting slopes using waste tyres, which consists in: a) an upper barrier formed by large tyres attached by fastening means to the slope upper portion. b) a lower barrier formed by large tyres attached by fastening means to the slope lower portion. c) a tyre arrangement formed by rows of tyres attached therebetween by fastening means. d) Anchoring means located between the upper barrier and the tyre arrangement. The present system contributes to recycling tyres regardless of their size and physical condition, and the reduction of environmental erosive effect over slopes. The inventive system also may help to selectively control and isolate fire due to their dismountable characteristic.",BREMER MARTIN HERMANN BREMER;;CORNEJO ISRAEL LEWITES
343,140-609-442-476-206,SYSTEM FOR SAVING ENERGY USING AN ELECTRONIC SCANNING CIRCUIT.,"The present invention refers to a circuit using the electronic scanning concept as a saving energy tooL. the electronic scanning is carried out using a PCI circuit which performs a determined sequence for any device, such as a microcontroller. The circuit also has a specific electronic devices and high-luminosity LEDS, which may be replaced by further sequence electronic devices. . In addition, the invention exploits the fact that, at a switching-on frequency of 60 Hertz, a human cannot distinguish the flicker caused by the devices switching on and off. The illumination capability of the electronic scanning depends on the LEDS arrangement and the programmed sequence, and the device geometry. The electronic scanning is characterised in that it requires a commercial voltage (130 Volts, 220), the behavior of the current being softened by rectifying the signal so that the circuit may work at lower voltages.",ROVIRA NOEL LEON;;SANCHEZ HECTOR LAVALLE;;WONG REGULO MIGUEL RAMIREZ
344,021-541-798-840-328,CANCER CELL GROWTH INHIBITION BY BLACK BEAN (PHASEOLUS VULGARIS L.) EXTRACTS,,GUTIERREZ-URIBE JANET;;SERNA-SALDIVAR SERGIO;;MORENO-CUEVAS JORGE;;HERNANDEZ-BRENES CARMEN;;GUAJARDO-TOUCHE ESLA
345,055-372-239-961-536,Production of invert syrup from sugarcane juice using immobilized invertase,,SERNA-SALDIVAR SERGIO R RITO-P
346,087-395-569-960-950,método para produzir um produto de xarope invertido a partir de suco de cana-de-açúcar bruto,"""MéTODO PARA PRODUZIR UM PRODUTO DE XAROPE INVERTIDO A PARTIR DE SUCO DE CANA-DE-AçúCAR BRUTO"". A presente invenção refere-se a um processo novo no qual suco de cana-de-açúcar é primeiramente refinado em várias etapas e então bioenzimaticamente convertido em xarope invertido refinado ou solução concentrada de glicose-frutose utilizando um reator carregado com invertase imobilizada. As etapas de refinação preferivelmente incluem uma primeira filtração (filtração ou microfiltração de partícula) seguida de uma segunda filtração (microfiltração ou ultrafiltração) e então pelo menos uma passagem por uma coluna carregada com uma resina de troca aniónica. O suco de cana-de-açúcar refinado pode ser opcionalmente concentrado e/ou pasteurizado antes de passar por um reator carregado com invertase imobilizada para converter sacarose em glicose-frutose.",SERNA-SALDIVAR SERGIO R;;RITO-PALOMARES MARCO A
347,134-056-706-365-047,AXIAL RECIPROCATING ENGINE.,"The present invention refers to a two-stroke inner combustion single cylinder engine having a reciprocating piston axially aligned with the power axis. The inner design of the engine promotes an increase in the number of revolutions per minute of the power axis, and a decrease in the number of cycles of the piston, thus improving the outer aerodynamic shape of said engine. The purpose of the invention is to provide an engine that allows applications through which fluids pass about the engine to achieve a higher efficiency and pushing forces, such as piped engines with helices or impellers useful in aeronautics and aeromodelling. Unlike traditional engines having a piston and casing causing an obstruction due to their shape and location, the inventive engine has a piston arranged in line with the power axis.",LOBATO SAMUEL PEGUERO
348,066-758-084-736-465,CANCER CELL GROWTH INHIBITION BY BLACK BEAN (PHASEOLUS VULGARISL) EXTRACTS,"A group of phytochemical compounds extracted from whole germinated or not germinated black beans (Phaseolus vulgaris L) and/or their dry milled fractions such as seed coats or hulls and cotyledons is described. These phytochemicals are classified as phenolics, such as polyphenols, flavonoids, coumarins, and tannins, triterpenes such as saponins, phytosterols and other antioxidant compounds that proved to be effective to decrease cancer proliferation of hormone dependent mammary (MCF-7), hormone independent hepatic (HepG2) and colon (Caco2) cancer cells. They also effectively protect against chemical damage induced with DMBA and furthermore prevented cancer induced by this chemical in Wistar rats and also reduced tumor size when consumed after tumor detection. Methanol, acetone, ethanol, water and mixtures of these solvents were used to obtain the extracts from raw, cooked, and germinated black beans of different varieties, both from the whole grain and the hulls. The black bean malting process produced extracts rich in aglycone forms of the previous mentioned compounds that were more biologically active against MCF-7 cancer cell proliferation. Both raw extracts, C-18 HPLC refined extracts and fractionated extracts may be used in the treatment, prophylaxis, amelioration or defense against a variety of hormone dependent and independent cancers. The extracts and compounds have additional utilities, e.g., lower cholesterol or lower oxidation of LDL and/or inhibit cholesterol synthesis (or the enzyme therefor) and/or reduce liver fibrosis and/or reduce symptoms of menopause and/or stimulate calcium absorption and/or have estrogenic activity such as feminizing estrogenic activity and/or are antioxidants, for instance, as an active ingredient in a nutritional supplement and/or as a food, cosmetic or pharmaceutical antioxidants or colorants.",GUTIERREZ-URIBE JANET;;SERNA-SALDIVAR SERGIO;;MORENO-CUEVAS JORGE;;HERNANDEZ-BRENES CARMEN;;GUAJARDO-TOUCHE ELSA
349,124-969-864-343-170,CANCER CELL GROWTH INHIBITION BY BLACK BEAN (PHASEOLUS VULGARISL) EXTRACTS,"A group of phytochemical compounds extracted from whole germinated or not germinated black beans (Phaseolus vulgaris L) and/or their dry milled fractions such as seed coats or hulls and cotyledons is described. These phytochemicals are classified as phenolics, such as polyphenols, flavonoids, coumarins, and tannins, triterpenes such as saponins, phytosterols and other antioxidant compounds that proved to be effective to decrease cancer proliferation of hormone dependent mammary (MCF-7), hormone independent hepatic (HepG2) and colon (Caco2) cancer cells. They also effectively protect against chemical damage induced with DMBA and furthermore prevented cancer induced by this chemical in Wistar rats and also reduced tumor size when consumed after tumor detection. Methanol, acetone, ethanol, water and mixtures of these solvents were used to obtain the extracts from raw, cooked, and germinated black beans of different varieties, both from the whole grain and the hulls. The black bean malting process produced extracts rich in aglycone forms of the previous mentioned compounds that were more biologically active against MCF-7 cancer cell proliferation. Both raw extracts, C-18 HPLC refined extracts and fractionated extracts may be used in the treatment, prophylaxis, amelioration or defense against a variety of hormone dependent and independent cancers. The extracts and compounds have additional utilities, e.g., lower cholesterol or lower oxidation of LDL and/or inhibit cholesterol synthesis (or the enzyme therefor) and/or reduce liver fibrosis and/or reduce symptoms of menopause and/or stimulate calcium absorption and/or have estrogenic activity such as feminizing estrogenic activity and/or are antioxidants, for instance, as an active ingredient in a nutritional supplement and/or as a food, cosmetic or pharmaceutical antioxidants or colorants.",GUTIERREZ-URIBE JANET;;SERNA-SALDIVAR SERGIO;;MORENO-CUEVAS JORGE;;HERNANDEZ-BRENES CARMEN;;GUAJARDO-TOUCHE ELSA
